valuation_result_id,scenario_id,wacc_pct,terminal_growth_pct,pv_explicit_period,terminal_year_ufcf,terminal_value_undiscounted,pv_terminal_value,enterprise_value,valuation_date_net_debt,equity_value,valuation_date_diluted_shares,implied_value_per_share,information_cutoff
vres_base_v1,base,8.86177,2.5,14810.184522005671,4073.354579574773,65629.3522724673,42926.07317120092,57736.25769320659,8855.0,48881.25769320659,455.6,107.28985446270103,2026-03-11
vres_downside_v1,downside,8.86177,2.5,11394.925543787656,2420.104580963286,38992.40613048519,25503.693404278445,36898.6189480661,8855.0,28043.618948066098,455.6,61.55315835835403,2026-03-11
vres_upside_v1,upside,8.86177,2.5,16898.26972712755,5216.741811973779,84051.45670580865,54975.386100423086,71873.65582755064,8855.0,63018.65582755064,455.6,138.32014009558964,2026-03-11
